seed,left,right,comparison,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,left_loss,right_loss,left_minus_right,signed_gain_left_minus_right,causal_replacement
0,F_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.520679387988982,0.503561232894474,0.01711815509450798,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.5220567780530266,0.503561232894474,0.018495545158552673,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.5229334871134823,0.503561232894474,0.019372254219008345,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.5373848964730914,0.503561232894474,0.033823663578617436,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.5377366371918788,0.503561232894474,0.03417540429740484,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation,0.5374408345574962,0.503561232894474,0.033879601663022285,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.5017754946639117,0.4924030236699547,0.009372470993956994,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.5080808709937343,0.4924030236699547,0.015677847323779637,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.5075893467196635,0.4924030236699547,0.015186323049708794,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.5266974462537111,0.4924030236699547,0.03429442258375637,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.5267682977482105,0.4924030236699547,0.03436527407825585,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation,0.527309296696386,0.4924030236699547,0.034906273026431345,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.48792615809596157,0.46991354750935554,0.018012610586606026,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.49202227976785534,0.46991354750935554,0.022108732258499797,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.48986945472228827,0.46991354750935554,0.019955907212932722,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.5055822583473899,0.46991354750935554,0.035668710838034356,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.5059584965282968,0.46991354750935554,0.036044949018941286,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,validation_person_weighted,0.5059091962320573,0.46991354750935554,0.03599564872270178,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.4850795214559155,0.4773771037611872,0.007702417694728292,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.49274396440286516,0.4773771037611872,0.01536686064167797,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.49086276125578193,0.4773771037611872,0.013485657494594738,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.5105294887901104,0.4773771037611872,0.033152385028923204,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.5106329156529795,0.4773771037611872,0.03325581189179233,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,A,same_residence,,utility,primary,,development_evaluation_person_weighted,0.5107300001520378,0.4773771037611872,0.03335289639085065,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6901294561054672,0.6793320753197857,0.010797380785681487,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6913028948926349,0.6793320753197857,0.011970819572849178,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6894443808000996,0.6793320753197857,0.010112305480313943,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6924657449168915,0.6793320753197857,0.013133669597105824,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6926233749403106,0.6793320753197857,0.013291299620524888,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation,0.6926521834229072,0.6793320753197857,0.013320108103121564,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6909975627067607,0.6937296760377784,-0.002732113331017638,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6909495394855008,0.6937296760377784,-0.002780136552277601,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6942542194796721,0.6937296760377784,0.0005245434418937878,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6937171559856108,0.6937296760377784,-1.2520052167563911e-05,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6940738569436312,0.6937296760377784,0.00034418090585286443,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation,0.6934799427702049,0.6937296760377784,-0.0002497332675734931,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.689137618241906,0.6785521616826254,0.01058545655928056,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.6889382372605197,0.6785521616826254,0.010386075577894283,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.6889022044364586,0.6785521616826254,0.01035004275383311,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.693339972240417,0.6785521616826254,0.014787810557791548,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.6935209988579668,0.6785521616826254,0.014968837175341365,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,validation_person_weighted,0.693496195881899,0.6785521616826254,0.014944034199273593,,False
0,F_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6903320699047537,0.6920983959338728,-0.0017663260291190808,,False
0,F_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6905277435237771,0.6920983959338728,-0.0015706524100956853,,False
0,F_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6920845104716284,0.6920983959338728,-1.388546224434517e-05,,False
0,P_I,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6933203878709963,0.6920983959338728,0.0012219919371234678,,False
0,P_Iplus,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6935871732469152,0.6920983959338728,0.001488777313042422,,False
0,P_J,E_pca,contextual_learned_minus_historical,utility,B,commute_over20,,utility,primary,,development_evaluation_person_weighted,0.6931761793158705,0.6920983959338728,0.00107778338199771,,False
