id,claim,status,source_commit,source_file,source_key,dataset_year,statistical_family,value,caveat,manuscript_location
V01,"The released income, employment and coverage probability vectors are identical bitwise in every condition; preservation is an architectural identity, not a statistical bound.",SUPPORTED (structural),0d8f4b67b6d4961dfa133289d0167c874d2f4794,results/redesign_20260917_acs_spectral_transport_v1/INDEPENDENT_VERIFICATION.json,source_output_identity,ACS 2017 final partition,none (exact equality),"210 of 210 released views, 0 violations","Appending a vector while leaving another untouched is a property of concatenation, not a theorem, and says nothing about the appended channel.",Abstract (i); sec:interface; app:math M1
V02,Exact output preservation does not imply stable service accuracy.,SUPPORTED,0d8f4b67b6d4961dfa133289d0167c874d2f4794,papers/pcrl_manuscript_v3/DERIVED_FACTS.json,service_accuracy,ACS 2018 vs 2017,"point differences, no interval","employment +0.01379, income -0.01454, coverage -0.00668 nats","Two years, one state, one age band. Not a general stability statement.",sec:interface; app:study1
V03,"On the sealed 2017 partition the coalition-conditioned penalty beats both local controls: 14 of 16 sensitive cells strictly better, 0 worse, 2 unresolved.",SUPPORTED (confirmatory),349efa454afd907389760fd1f59fd8806a215efd,papers/pcrl_manuscript_v3/DERIVED_FACTS.json,family_counts.F1_primary,"ACS 2017 (sealed, now spent)","F1, simultaneous max-|t| 95%, critical value 2.9301",sensitive_cells=16 better=14 worse=0 unresolved=2; advantage rule fired 4/4,"Prespecified rules with NO registered directional forecast. One year, one state, three seeds. The two unresolved cells are A/sex unweighted against each control.",Abstract (ii); sec:study1; app:study1
V04,The registered residence rule is a point criterion; interval non-inferiority at the same 0.001 margin is NOT supported.,NARROWED,349efa454afd907389760fd1f59fd8806a215efd,papers/pcrl_manuscript_v3/DERIVED_FACTS.json,equivalence.F1_primary,ACS 2017 (sealed),"retrospective one-sided non-inferiority, pointwise and simultaneous",registered point rule passed 4/4; non-inferior pointwise 0/4; simultaneous 0/4,"""No statistically detected cost"" and ""a cost bounded below 0.001"" are different statements and only the first is supported. The retrospective assessment does not replace the registered outcome.",Abstract (ii); sec:study1; app:study1
V05,The repaired objective is exactly rotation invariant.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/MECHANISM_GATE.json,gate.max_abs_share; max_direct_invariance_change,ACS 2018 fitted maps (outcome-free diagnostic),none (deterministic identity + numerical tolerance),"rotation share max abs 1.396e-15 over 18 cells (gate 0.10, forecast 0.01); |L(WQ)-L(W)| <= 5.551e-17","Computed after fitting and BEFORE any 2018 or 2017 score was read. Invariance of an objective is not evidence that the objective measures the right thing, and these are floating-point identities to round-off, not exact zeros.",Abstract (iii); sec:study23 Table 2; app:math M4
V06,Removing the provably inert rotation slack increased measured disclosure. The predecessor inference drawn from the 63% diagnostic is REFUTED.,"REFUTED (the prediction), SUPPORTED (the measurement)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,comparison_family=repair_vs_defective,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 48 sensitive cells significantly WORSE, 0 significantly better (6 contrasts x 4 endpoints x 2 weightings); largest +0.01072 [+0.00343, +0.01802] SIGNIFICANTLY WORSE","The repair changed FIVE ingredients at once (Frobenius weighting, single scalar scale, no centering, exact kernel for Fourier features, frozen 512-row subsets). No ablation isolates coordinate dependence as the operative cause. ""Implicit regulariser"" is a hypothesis, not a finding.","Abstract (iii); sec:study23; CORRECTIONS B4, B5"
V07,The 63% rotation share is an ATTAINED diagnostic value.,NARROWED,c37807e4f568ef38e5528fc09c1506083278bf4d,papers/pcrl_manuscript_v3/DERIVED_FACTS.json,rotation,ACS 2018 fitted maps,none (bounded search),"mean 0.6276, range 0.3666-0.9075 over 18 conditions; every search stopped on budget exhaustion or line-search failure",Not a supremum over rotations and not a causal decomposition of the optimiser trajectory. The two searches are different optimisations over different feasible sets.,sec:study23; CORRECTIONS B5
V08,The repaired arm is significantly WORSE than its own linear-moment control on local race at rank 8.,SUPPORTED (new in v3),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,spectral_riv8_L1-spectral_lin8_L1 / recovery/A/RAC1P,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","unweighted +0.01158 [+0.00479, +0.01836] SIGNIFICANTLY WORSE; person-weighted +0.01053 [+0.00237, +0.01870] SIGNIFICANTLY WORSE","So ""the repaired arms beat their own linear controls"", true of exploratory 2017 seed means, is NOT true of the 2018 intervals.",sec:study23; CORRECTIONS B6
V09-LEACE,Adapted LEACE recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,leace_A0-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00357 [-0.00284, +0.00999] UNRESOLVED","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
V09-SPLINCE,Adapted SPLINCE recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,splince_A0-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","7 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00888 [+0.00317, +0.01460] SIGNIFICANTLY WORSE","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
